"Date","BTC_Close","BTC_High","BTC_Low","BTC_Open","BTC_Volume","BTC_PriceRange","NIFTY_Close","NIFTY_High","NIFTY_Low","NIFTY_Open","NIFTY_Volume","NIFTY_PriceRange","ETH_Close","ETH_High","ETH_Low","ETH_Open","ETH_Volume","ETH_PriceRange"
2017-11-09,463693.35,483377.46,460963.21,483377.46,2.09e+11,22414.25,10308.95,10368.45,10266.95,10358.65,240200,101.5,20828.74,21384.89,19931.16,20034.3,57981302702,1453.73
2017-11-10,429967.34,475046.03,418190.59,466062.91,3.38e+11,56855.44,10321.75,10344.95,10254.1,10304.35,279400,90.8500000000004,19441.87,21096.28,19135.8,20833.35,57560739464,1960.48
2017-11-13,427418.36,443819.19,380815.7,386938.16,4.08e+11,63003.49,10224.95,10334.15,10216.25,10322,210300,117.9,20637.31,21399.62,20005.84,20005.84,67889865185,1393.78
2017-11-14,434232.86,442689.47,422846.58,429372.75,2.09e+11,19842.89,10186.6,10248,10175.55,10223.4,305000,72.4500000000007,22094.03,22260.64,20728.46,20728.46,69998148001,1532.18
2017-11-15,478534.34,480281.53,434002.19,434002.19,2.75e+11,46279.34,10118.05,10175.45,10094,10171.95,207400,81.4500000000007,21806.01,22300.21,21574.19,22107.37,47272038167,726.02
2017-11-16,514913.99,521173.4,469444.49,479038.03,3.35e+11,51728.91,10214.75,10232.25,10139.2,10152.9,182600,93.0499999999993,21646.86,21989.3,21168.17,21811.64,52151094846,821.130000000001
2017-11-17,502703.25,521979.3,493058.66,512131.28,3.03e+11,28920.64,10283.6,10343.6,10268.05,10324.55,203300,75.5500000000011,21675.41,21843,21357.78,21530.19,40543207836,485.220000000001
2017-11-20,532262.51,541103.91,515953.19,521775.82,2.26e+11,25150.72,10298.75,10309.85,10261.5,10287.2,147200,48.3500000000004,23802.61,24153.55,22930.22,22982.47,52380086970,1223.33
2017-11-21,524833.68,542871.64,504770.23,533578.27,2.78e+11,38101.41,10326.9,10358.7,10315.05,10329.25,186100,43.6500000000015,23435.08,24219.86,22803.81,23892.98,61768029253,1416.05
2017-11-22,534510.61,537665.13,522977.94,523138.55,2.35e+11,14687.19,10342.3,10368.7,10309.55,10350.8,157600,59.1500000000015,24651.52,24701.26,23323.59,23334.27,51862079326,1377.67
2017-11-23,520671.11,535479.5,520671.11,533211.22,2.74e+11,14808.39,10348.75,10374.3,10307.3,10358.45,153000,67,26566.45,27562.74,24359.22,24705.8,1.2e+11,3203.52
2017-11-24,533018.37,540798.23,512820.5,521415.36,3.27e+11,27977.73,10389.7,10404.5,10362.25,10366.8,129200,42.25,30669.47,31060.95,26009.87,26639.07,1.48e+11,5051.08
